Timestamp,Equipment Name,Water Consumed (Liters),Energy Consumed (kWh),
01/02/2026 04:00,Cooling Tower A (Torre Enfriamiento),338.1,38.6,
01/02/2026 04:00,Cooling Tower B (Torre Enfriamiento),284.6,46.8,
01/02/2026 04:00,HVAC Chiller Unit 1 (Enfriadora),0,178.5,
01/02/2026 04:00,HVAC Chiller Unit 2 (Enfriadora),0,155.7,
01/02/2026 04:00,Industrial Washer A (Lavandería),18.6,0.8,
01/02/2026 04:00,Industrial Washer B (Lavandería),16.5,1.1,
01/02/2026 04:00,Tunnel Dishwasher (Cocina),10.9,1.4,
01/02/2026 04:00,Pool Pump & Heater System,16,35.3,
01/02/2026 04:00,Main Electric Boiler (Caldera),24.6,95.7,
01/02/2026 05:00,Cooling Tower A (Torre Enfriamiento),290,33.7,
01/02/2026 05:00,Cooling Tower B (Torre Enfriamiento),262.6,30.6,
01/02/2026 05:00,HVAC Chiller Unit 1 (Enfriadora),0,118.3,
01/02/2026 05:00,HVAC Chiller Unit 2 (Enfriadora),0,100.2,
01/02/2026 05:00,Industrial Washer A (Lavandería),16.9,0.9,
01/02/2026 05:00,Industrial Washer B (Lavandería),15,0.7,
01/02/2026 05:00,Tunnel Dishwasher (Cocina),6.4,1.1,
01/02/2026 05:00,Pool Pump & Heater System,9.5,17.1,
01/02/2026 05:00,Main Electric Boiler (Caldera),16.9,75.5,
01/02/2026 06:00,Cooling Tower A (Torre Enfriamiento),563.5,84.7,
01/02/2026 06:00,Cooling Tower B (Torre Enfriamiento),724.8,59.8,
01/02/2026 06:00,HVAC Chiller Unit 1 (Enfriadora),0,258.2,
01/02/2026 06:00,HVAC Chiller Unit 2 (Enfriadora),0,256.9,
01/02/2026 06:00,Industrial Washer A (Lavandería),392,19.5,
01/02/2026 06:00,Industrial Washer B (Lavandería),317.1,18.8,
01/02/2026 06:00,Tunnel Dishwasher (Cocina),234.3,28.2,
01/02/2026 06:00,Pool Pump & Heater System,20.8,45.9,
01/02/2026 06:00,Main Electric Boiler (Caldera),47.1,170.9,
01/02/2026 07:00,Cooling Tower A (Torre Enfriamiento),750.5,71.5,
01/02/2026 07:00,Cooling Tower B (Torre Enfriamiento),754.5,61.1,
01/02/2026 07:00,HVAC Chiller Unit 1 (Enfriadora),0,319.2,
01/02/2026 07:00,HVAC Chiller Unit 2 (Enfriadora),0,219.4,
01/02/2026 07:00,Industrial Washer A (Lavandería),384,27.8,
01/02/2026 07:00,Industrial Washer B (Lavandería),267.1,15.2,
01/02/2026 07:00,Tunnel Dishwasher (Cocina),197,23.9,
01/02/2026 07:00,Pool Pump & Heater System,11.2,47.2,
01/02/2026 07:00,Main Electric Boiler (Caldera),26.3,165.5,
01/02/2026 08:00,Cooling Tower A (Torre Enfriamiento),810.3,75.7,
01/02/2026 08:00,Cooling Tower B (Torre Enfriamiento),714.8,72,
01/02/2026 08:00,HVAC Chiller Unit 1 (Enfriadora),0,303,
01/02/2026 08:00,HVAC Chiller Unit 2 (Enfriadora),0,328.7,
01/02/2026 08:00,Industrial Washer A (Lavandería),484,25.1,
01/02/2026 08:00,Industrial Washer B (Lavandería),473.9,29.2,
01/02/2026 08:00,Tunnel Dishwasher (Cocina),212.1,30.3,
01/02/2026 08:00,Pool Pump & Heater System,14.2,70.6,
01/02/2026 08:00,Main Electric Boiler (Caldera),63,157.9,
01/02/2026 09:00,Cooling Tower A (Torre Enfriamiento),811.7,85.7,
01/02/2026 09:00,Cooling Tower B (Torre Enfriamiento),718.3,89.9,
01/02/2026 09:00,HVAC Chiller Unit 1 (Enfriadora),0,352,
01/02/2026 09:00,HVAC Chiller Unit 2 (Enfriadora),0,301.8,
01/02/2026 09:00,Industrial Washer A (Lavandería),580.8,26.5,
01/02/2026 09:00,Industrial Washer B (Lavandería),320.4,23.9,
01/02/2026 09:00,Tunnel Dishwasher (Cocina),195.1,40,
01/02/2026 09:00,Pool Pump & Heater System,40.3,46.2,
01/02/2026 09:00,Main Electric Boiler (Caldera),62.5,205.8,
01/02/2026 10:00,Cooling Tower A (Torre Enfriamiento),802,103.5,
01/02/2026 10:00,Cooling Tower B (Torre Enfriamiento),755.3,96.7,
01/02/2026 10:00,HVAC Chiller Unit 1 (Enfriadora),0,466.4,
01/02/2026 10:00,HVAC Chiller Unit 2 (Enfriadora),0,395.6,
01/02/2026 10:00,Industrial Washer A (Lavandería),654.6,33.2,
01/02/2026 10:00,Industrial Washer B (Lavandería),748.4,26.8,
01/02/2026 10:00,Tunnel Dishwasher (Cocina),215.1,41.6,
01/02/2026 10:00,Pool Pump & Heater System,24.4,89.4,
01/02/2026 10:00,Main Electric Boiler (Caldera),60.6,234.5,
01/02/2026 11:00,Cooling Tower A (Torre Enfriamiento),807.2,97,
01/02/2026 11:00,Cooling Tower B (Torre Enfriamiento),974.9,93.9,
01/02/2026 11:00,HVAC Chiller Unit 1 (Enfriadora),0,328.5,
01/02/2026 11:00,HVAC Chiller Unit 2 (Enfriadora),0,294.3,
01/02/2026 11:00,Industrial Washer A (Lavandería),436.3,30.8,
01/02/2026 11:00,Industrial Washer B (Lavandería),459.2,17.9,
01/02/2026 11:00,Tunnel Dishwasher (Cocina),272.4,40.1,
01/02/2026 11:00,Pool Pump & Heater System,22.3,65.6,
01/02/2026 11:00,Main Electric Boiler (Caldera),53.6,174.5,
01/02/2026 12:00,Cooling Tower A (Torre Enfriamiento),1175.9,120.8,
01/02/2026 12:00,Cooling Tower B (Torre Enfriamiento),879.9,134.6,
01/02/2026 12:00,HVAC Chiller Unit 1 (Enfriadora),0,493.6,
01/02/2026 12:00,HVAC Chiller Unit 2 (Enfriadora),0,399,
01/02/2026 12:00,Industrial Washer A (Lavandería),599.2,33.2,
01/02/2026 12:00,Industrial Washer B (Lavandería),532.8,32.2,
01/02/2026 12:00,Tunnel Dishwasher (Cocina),406.6,44.3,
01/02/2026 12:00,Pool Pump & Heater System,54.7,94.5,
01/02/2026 12:00,Main Electric Boiler (Caldera),67.6,259.3,
01/02/2026 13:00,Cooling Tower A (Torre Enfriamiento),753.4,91,
01/02/2026 13:00,Cooling Tower B (Torre Enfriamiento),850.7,100.2,
01/02/2026 13:00,HVAC Chiller Unit 1 (Enfriadora),0,500.2,
01/02/2026 13:00,HVAC Chiller Unit 2 (Enfriadora),0,292.2,
01/02/2026 13:00,Industrial Washer A (Lavandería),556.1,18.7,
01/02/2026 13:00,Industrial Washer B (Lavandería),423.6,29,
01/02/2026 13:00,Tunnel Dishwasher (Cocina),278.9,29.1,
01/02/2026 13:00,Pool Pump & Heater System,25.2,77.3,
01/02/2026 13:00,Main Electric Boiler (Caldera),43,227.4,
01/02/2026 14:00,Cooling Tower A (Torre Enfriamiento),1176.3,105,
01/02/2026 14:00,Cooling Tower B (Torre Enfriamiento),1084.7,101.5,
01/02/2026 14:00,HVAC Chiller Unit 1 (Enfriadora),0,356.1,
01/02/2026 14:00,HVAC Chiller Unit 2 (Enfriadora),0,363.2,
01/02/2026 14:00,Industrial Washer A (Lavandería),542.1,22.2,
01/02/2026 14:00,Industrial Washer B (Lavandería),392.7,15.6,
01/02/2026 14:00,Tunnel Dishwasher (Cocina),214.7,49,
01/02/2026 14:00,Pool Pump & Heater System,27.1,56.1,
01/02/2026 14:00,Main Electric Boiler (Caldera),55.6,154,
01/02/2026 15:00,Cooling Tower A (Torre Enfriamiento),741.8,114.4,
01/02/2026 15:00,Cooling Tower B (Torre Enfriamiento),1444.6,124.3,
01/02/2026 15:00,HVAC Chiller Unit 1 (Enfriadora),0,342,
01/02/2026 15:00,HVAC Chiller Unit 2 (Enfriadora),0,389.4,
01/02/2026 15:00,Industrial Washer A (Lavandería),669.6,26.1,
01/02/2026 15:00,Industrial Washer B (Lavandería),550.5,30.5,
01/02/2026 15:00,Tunnel Dishwasher (Cocina),247.3,41.9,
01/02/2026 15:00,Pool Pump & Heater System,0,54.2,
01/02/2026 15:00,Main Electric Boiler (Caldera),56.1,197.4,
01/02/2026 16:00,Cooling Tower A (Torre Enfriamiento),1154.8,110,
01/02/2026 16:00,Cooling Tower B (Torre Enfriamiento),928.6,94.5,
01/02/2026 16:00,HVAC Chiller Unit 1 (Enfriadora),0,394.8,
01/02/2026 16:00,HVAC Chiller Unit 2 (Enfriadora),0,485.8,
01/02/2026 16:00,Industrial Washer A (Lavandería),540.1,33.1,
01/02/2026 16:00,Industrial Washer B (Lavandería),453.2,24.9,
01/02/2026 16:00,Tunnel Dishwasher (Cocina),316.1,40.3,
01/02/2026 16:00,Pool Pump & Heater System,12.3,88.7,
01/02/2026 16:00,Main Electric Boiler (Caldera),45.6,294.8,
01/02/2026 17:00,Cooling Tower A (Torre Enfriamiento),904.5,105.8,
01/02/2026 17:00,Cooling Tower B (Torre Enfriamiento),1041.5,96,
01/02/2026 17:00,HVAC Chiller Unit 1 (Enfriadora),0,396.4,
01/02/2026 17:00,HVAC Chiller Unit 2 (Enfriadora),0,372.7,
01/02/2026 17:00,Industrial Washer A (Lavandería),468.8,34,
01/02/2026 17:00,Industrial Washer B (Lavandería),519.9,22.4,
01/02/2026 17:00,Tunnel Dishwasher (Cocina),343.3,43.6,
01/02/2026 17:00,Pool Pump & Heater System,44.4,80.8,
01/02/2026 17:00,Main Electric Boiler (Caldera),43.7,213.2,
01/02/2026 18:00,Cooling Tower A (Torre Enfriamiento),651.6,89.2,
01/02/2026 18:00,Cooling Tower B (Torre Enfriamiento),910.2,127.3,
01/02/2026 18:00,HVAC Chiller Unit 1 (Enfriadora),0,514.4,
01/02/2026 18:00,HVAC Chiller Unit 2 (Enfriadora),0,395,
01/02/2026 18:00,Industrial Washer A (Lavandería),511.4,32.2,
01/02/2026 18:00,Industrial Washer B (Lavandería),515.7,31.5,
01/02/2026 18:00,Tunnel Dishwasher (Cocina),274.2,52.2,
01/02/2026 18:00,Pool Pump & Heater System,33.8,89.2,
01/02/2026 18:00,Main Electric Boiler (Caldera),56.3,222.5,
01/02/2026 19:00,Cooling Tower A (Torre Enfriamiento),1046.7,116.9,
01/02/2026 19:00,Cooling Tower B (Torre Enfriamiento),924,147.9,
01/02/2026 19:00,HVAC Chiller Unit 1 (Enfriadora),0,391.6,
01/02/2026 19:00,HVAC Chiller Unit 2 (Enfriadora),0,374.5,
01/02/2026 19:00,Industrial Washer A (Lavandería),697.3,37.2,
01/02/2026 19:00,Industrial Washer B (Lavandería),599.9,31.5,
01/02/2026 19:00,Tunnel Dishwasher (Cocina),320.5,35.8,
01/02/2026 19:00,Pool Pump & Heater System,39.5,64,
01/02/2026 19:00,Main Electric Boiler (Caldera),83,251.3,
01/02/2026 20:00,Cooling Tower A (Torre Enfriamiento),986,109,
01/02/2026 20:00,Cooling Tower B (Torre Enfriamiento),862.9,102.2,
01/02/2026 20:00,HVAC Chiller Unit 1 (Enfriadora),0,414.7,
01/02/2026 20:00,HVAC Chiller Unit 2 (Enfriadora),0,414.4,
01/02/2026 20:00,Industrial Washer A (Lavandería),599.4,25,
01/02/2026 20:00,Industrial Washer B (Lavandería),409.2,30.3,
01/02/2026 20:00,Tunnel Dishwasher (Cocina),163.7,52.6,
01/02/2026 20:00,Pool Pump & Heater System,29.8,66.2,
01/02/2026 20:00,Main Electric Boiler (Caldera),44,219.5,
01/02/2026 21:00,Cooling Tower A (Torre Enfriamiento),878.6,79.5,
01/02/2026 21:00,Cooling Tower B (Torre Enfriamiento),966.4,112.3,
01/02/2026 21:00,HVAC Chiller Unit 1 (Enfriadora),0,357.4,
01/02/2026 21:00,HVAC Chiller Unit 2 (Enfriadora),0,368.8,
01/02/2026 21:00,Industrial Washer A (Lavandería),523.2,23.8,
01/02/2026 21:00,Industrial Washer B (Lavandería),452.4,22.8,
01/02/2026 21:00,Tunnel Dishwasher (Cocina),264,29.8,
01/02/2026 21:00,Pool Pump & Heater System,31.3,69.9,
01/02/2026 21:00,Main Electric Boiler (Caldera),74.3,236.9,
01/02/2026 22:00,Cooling Tower A (Torre Enfriamiento),1113.7,117.2,
01/02/2026 22:00,Cooling Tower B (Torre Enfriamiento),945.7,115.6,
01/02/2026 22:00,HVAC Chiller Unit 1 (Enfriadora),0,323.4,
01/02/2026 22:00,HVAC Chiller Unit 2 (Enfriadora),0,422,
01/02/2026 22:00,Industrial Washer A (Lavandería),497,20.7,
01/02/2026 22:00,Industrial Washer B (Lavandería),565.3,16.8,
01/02/2026 22:00,Tunnel Dishwasher (Cocina),175.4,43.1,
01/02/2026 22:00,Pool Pump & Heater System,40.6,84.7,
01/02/2026 22:00,Main Electric Boiler (Caldera),69.5,277.6,
01/02/2026 23:00,Cooling Tower A (Torre Enfriamiento),806.4,66.3,
01/02/2026 23:00,Cooling Tower B (Torre Enfriamiento),475.4,87.7,
01/02/2026 23:00,HVAC Chiller Unit 1 (Enfriadora),0,284.7,
01/02/2026 23:00,HVAC Chiller Unit 2 (Enfriadora),0,321.5,
01/02/2026 23:00,Industrial Washer A (Lavandería),266.2,18.2,
01/02/2026 23:00,Industrial Washer B (Lavandería),347,18.3,
01/02/2026 23:00,Tunnel Dishwasher (Cocina),187.8,33,
01/02/2026 23:00,Pool Pump & Heater System,16,47.8,
01/02/2026 23:00,Main Electric Boiler (Caldera),42.8,177.8,
02/02/2026 00:00,Cooling Tower A (Torre Enfriamiento),353.5,37,
02/02/2026 00:00,Cooling Tower B (Torre Enfriamiento),264.5,31.8,
02/02/2026 00:00,HVAC Chiller Unit 1 (Enfriadora),0,133,
02/02/2026 00:00,HVAC Chiller Unit 2 (Enfriadora),0,155.5,
02/02/2026 00:00,Industrial Washer A (Lavandería),16.9,1.2,
02/02/2026 00:00,Industrial Washer B (Lavandería),16,1,
02/02/2026 00:00,Tunnel Dishwasher (Cocina),11.1,1.3,
02/02/2026 00:00,Pool Pump & Heater System,7.3,20.6,
02/02/2026 00:00,Main Electric Boiler (Caldera),26.7,83.4,
02/02/2026 01:00,Cooling Tower A (Torre Enfriamiento),348.9,24.5,
02/02/2026 01:00,Cooling Tower B (Torre Enfriamiento),240.4,23.8,
02/02/2026 01:00,HVAC Chiller Unit 1 (Enfriadora),0,122.9,
02/02/2026 01:00,HVAC Chiller Unit 2 (Enfriadora),0,134.2,
02/02/2026 01:00,Industrial Washer A (Lavandería),20.7,0.9,
02/02/2026 01:00,Industrial Washer B (Lavandería),19.7,0.6,
02/02/2026 01:00,Tunnel Dishwasher (Cocina),6,1.3,
02/02/2026 01:00,Pool Pump & Heater System,12.3,21.7,
02/02/2026 01:00,Main Electric Boiler (Caldera),6.9,71.8,
02/02/2026 02:00,Cooling Tower A (Torre Enfriamiento),383,41.3,
02/02/2026 02:00,Cooling Tower B (Torre Enfriamiento),330.2,47,
02/02/2026 02:00,HVAC Chiller Unit 1 (Enfriadora),0,188,
02/02/2026 02:00,HVAC Chiller Unit 2 (Enfriadora),0,160.9,
02/02/2026 02:00,Industrial Washer A (Lavandería),30.1,1.1,
02/02/2026 02:00,Industrial Washer B (Lavandería),18.9,1,
02/02/2026 02:00,Tunnel Dishwasher (Cocina),10.3,1.5,
02/02/2026 02:00,Pool Pump & Heater System,7.7,28,
02/02/2026 02:00,Main Electric Boiler (Caldera),24.9,64.4,
02/02/2026 03:00,Cooling Tower A (Torre Enfriamiento),352.5,44.2,
02/02/2026 03:00,Cooling Tower B (Torre Enfriamiento),421.9,44.3,
02/02/2026 03:00,HVAC Chiller Unit 1 (Enfriadora),0,191.5,
02/02/2026 03:00,HVAC Chiller Unit 2 (Enfriadora),0,187.8,
02/02/2026 03:00,Industrial Washer A (Lavandería),20.7,1.1,
02/02/2026 03:00,Industrial Washer B (Lavandería),20.3,0.6,
02/02/2026 03:00,Tunnel Dishwasher (Cocina),8.8,2.3,
02/02/2026 03:00,Pool Pump & Heater System,23.6,28.5,
02/02/2026 03:00,Main Electric Boiler (Caldera),29.7,106.2,
02/02/2026 04:00,Cooling Tower A (Torre Enfriamiento),296.7,38.9,
02/02/2026 04:00,Cooling Tower B (Torre Enfriamiento),496,27.4,
02/02/2026 04:00,HVAC Chiller Unit 1 (Enfriadora),0,142.2,
02/02/2026 04:00,HVAC Chiller Unit 2 (Enfriadora),0,137.8,
02/02/2026 04:00,Industrial Washer A (Lavandería),19.7,1.1,
02/02/2026 04:00,Industrial Washer B (Lavandería),15.4,0.9,
02/02/2026 04:00,Tunnel Dishwasher (Cocina),9.6,1.5,
02/02/2026 04:00,Pool Pump & Heater System,14.6,33.4,
02/02/2026 04:00,Main Electric Boiler (Caldera),29.9,99.6,
02/02/2026 05:00,Cooling Tower A (Torre Enfriamiento),364.8,34.3,
02/02/2026 05:00,Cooling Tower B (Torre Enfriamiento),491.7,43.4,
02/02/2026 05:00,HVAC Chiller Unit 1 (Enfriadora),0,136.4,
02/02/2026 05:00,HVAC Chiller Unit 2 (Enfriadora),0,149.4,
02/02/2026 05:00,Industrial Washer A (Lavandería),17.1,0.8,
02/02/2026 05:00,Industrial Washer B (Lavandería),22,1.3,
02/02/2026 05:00,Tunnel Dishwasher (Cocina),8.1,1.8,
02/02/2026 05:00,Pool Pump & Heater System,10.6,23.7,
02/02/2026 05:00,Main Electric Boiler (Caldera),18.5,78.3,
02/02/2026 06:00,Cooling Tower A (Torre Enfriamiento),319.3,69.1,
02/02/2026 06:00,Cooling Tower B (Torre Enfriamiento),686.2,66.9,
02/02/2026 06:00,HVAC Chiller Unit 1 (Enfriadora),0,271.2,
02/02/2026 06:00,HVAC Chiller Unit 2 (Enfriadora),0,263.9,
02/02/2026 06:00,Industrial Washer A (Lavandería),294.8,16.8,
02/02/2026 06:00,Industrial Washer B (Lavandería),345.6,17.2,
02/02/2026 06:00,Tunnel Dishwasher (Cocina),264.8,36.1,
02/02/2026 06:00,Pool Pump & Heater System,29.6,36.5,
02/02/2026 06:00,Main Electric Boiler (Caldera),31.2,127.8,
02/02/2026 07:00,Cooling Tower A (Torre Enfriamiento),460.1,70.7,
02/02/2026 07:00,Cooling Tower B (Torre Enfriamiento),737.9,65.5,
02/02/2026 07:00,HVAC Chiller Unit 1 (Enfriadora),0,313.5,
02/02/2026 07:00,HVAC Chiller Unit 2 (Enfriadora),0,226.4,
02/02/2026 07:00,Industrial Washer A (Lavandería),368.1,15.7,
02/02/2026 07:00,Industrial Washer B (Lavandería),307.1,18.4,
02/02/2026 07:00,Tunnel Dishwasher (Cocina),171.3,26.4,
02/02/2026 07:00,Pool Pump & Heater System,33.2,42.5,
02/02/2026 07:00,Main Electric Boiler (Caldera),51.8,137.5,
02/02/2026 08:00,Cooling Tower A (Torre Enfriamiento),641.8,101.5,
02/02/2026 08:00,Cooling Tower B (Torre Enfriamiento),526,72,
02/02/2026 08:00,HVAC Chiller Unit 1 (Enfriadora),0,331.9,
02/02/2026 08:00,HVAC Chiller Unit 2 (Enfriadora),0,318.9,
02/02/2026 08:00,Industrial Washer A (Lavandería),453.9,30.5,
02/02/2026 08:00,Industrial Washer B (Lavandería),381.4,20.8,
02/02/2026 08:00,Tunnel Dishwasher (Cocina),204.4,36.9,
02/02/2026 08:00,Pool Pump & Heater System,24.9,51.2,
02/02/2026 08:00,Main Electric Boiler (Caldera),54,214.4,
02/02/2026 09:00,Cooling Tower A (Torre Enfriamiento),797.5,70,
02/02/2026 09:00,Cooling Tower B (Torre Enfriamiento),893.1,72.9,
02/02/2026 09:00,HVAC Chiller Unit 1 (Enfriadora),0,221.3,
02/02/2026 09:00,HVAC Chiller Unit 2 (Enfriadora),0,256.8,
02/02/2026 09:00,Industrial Washer A (Lavandería),257.4,19.9,
02/02/2026 09:00,Industrial Washer B (Lavandería),361.1,24.6,
02/02/2026 09:00,Tunnel Dishwasher (Cocina),228.2,28.5,
02/02/2026 09:00,Pool Pump & Heater System,32.8,23,
02/02/2026 09:00,Main Electric Boiler (Caldera),45.9,191.2,
02/02/2026 10:00,Cooling Tower A (Torre Enfriamiento),853.7,93.9,
02/02/2026 10:00,Cooling Tower B (Torre Enfriamiento),734.9,88.2,
02/02/2026 10:00,HVAC Chiller Unit 1 (Enfriadora),0,386,
02/02/2026 10:00,HVAC Chiller Unit 2 (Enfriadora),0,403.6,
02/02/2026 10:00,Industrial Washer A (Lavandería),545.8,26.3,
02/02/2026 10:00,Industrial Washer B (Lavandería),396.9,24.4,
02/02/2026 10:00,Tunnel Dishwasher (Cocina),202.3,29.5,
02/02/2026 10:00,Pool Pump & Heater System,46.7,68.3,
02/02/2026 10:00,Main Electric Boiler (Caldera),46.4,232.8,
02/02/2026 11:00,Cooling Tower A (Torre Enfriamiento),946.6,93.7,
02/02/2026 11:00,Cooling Tower B (Torre Enfriamiento),970.8,117.8,
02/02/2026 11:00,HVAC Chiller Unit 1 (Enfriadora),0,478.7,
02/02/2026 11:00,HVAC Chiller Unit 2 (Enfriadora),0,377.8,
02/02/2026 11:00,Industrial Washer A (Lavandería),647.6,39.6,
02/02/2026 11:00,Industrial Washer B (Lavandería),562.1,36.8,
02/02/2026 11:00,Tunnel Dishwasher (Cocina),263.4,31.2,
02/02/2026 11:00,Pool Pump & Heater System,15.2,102.8,
02/02/2026 11:00,Main Electric Boiler (Caldera),74.6,247.2,
02/02/2026 12:00,Cooling Tower A (Torre Enfriamiento),865.1,116.6,
02/02/2026 12:00,Cooling Tower B (Torre Enfriamiento),855.2,94.7,
02/02/2026 12:00,HVAC Chiller Unit 1 (Enfriadora),0,450,
02/02/2026 12:00,HVAC Chiller Unit 2 (Enfriadora),0,380.3,
02/02/2026 12:00,Industrial Washer A (Lavandería),488.8,28.5,
02/02/2026 12:00,Industrial Washer B (Lavandería),459,18.2,
02/02/2026 12:00,Tunnel Dishwasher (Cocina),191.3,52.4,
02/02/2026 12:00,Pool Pump & Heater System,33.3,64.3,
02/02/2026 12:00,Main Electric Boiler (Caldera),50.9,233.7,
02/02/2026 13:00,Cooling Tower A (Torre Enfriamiento),835.8,99.2,
02/02/2026 13:00,Cooling Tower B (Torre Enfriamiento),598.9,112,
02/02/2026 13:00,HVAC Chiller Unit 1 (Enfriadora),0,354.5,
02/02/2026 13:00,HVAC Chiller Unit 2 (Enfriadora),0,333.9,
02/02/2026 13:00,Industrial Washer A (Lavandería),381.6,17.3,
02/02/2026 13:00,Industrial Washer B (Lavandería),498.1,23.1,
02/02/2026 13:00,Tunnel Dishwasher (Cocina),191.8,25.5,
02/02/2026 13:00,Pool Pump & Heater System,27.5,87.9,
02/02/2026 13:00,Main Electric Boiler (Caldera),47.7,160.2,
02/02/2026 14:00,Cooling Tower A (Torre Enfriamiento),832.8,74.8,
02/02/2026 14:00,Cooling Tower B (Torre Enfriamiento),1020.1,91.8,
02/02/2026 14:00,HVAC Chiller Unit 1 (Enfriadora),0,415.5,
02/02/2026 14:00,HVAC Chiller Unit 2 (Enfriadora),0,277.5,
02/02/2026 14:00,Industrial Washer A (Lavandería),384.2,28.7,
02/02/2026 14:00,Industrial Washer B (Lavandería),375.3,22.2,
02/02/2026 14:00,Tunnel Dishwasher (Cocina),260.6,37.8,
02/02/2026 14:00,Pool Pump & Heater System,24.2,64.9,
02/02/2026 14:00,Main Electric Boiler (Caldera),39.9,229.5,
02/02/2026 15:00,Cooling Tower A (Torre Enfriamiento),906.3,101,
02/02/2026 15:00,Cooling Tower B (Torre Enfriamiento),1072.4,106,
02/02/2026 15:00,HVAC Chiller Unit 1 (Enfriadora),0,403.6,
02/02/2026 15:00,HVAC Chiller Unit 2 (Enfriadora),0,437,
02/02/2026 15:00,Industrial Washer A (Lavandería),545.3,41.3,
02/02/2026 15:00,Industrial Washer B (Lavandería),280.8,33.5,
02/02/2026 15:00,Tunnel Dishwasher (Cocina),396.4,23.4,
02/02/2026 15:00,Pool Pump & Heater System,33.7,69.1,
02/02/2026 15:00,Main Electric Boiler (Caldera),36.7,224.3,
02/02/2026 16:00,Cooling Tower A (Torre Enfriamiento),889.8,100.6,
02/02/2026 16:00,Cooling Tower B (Torre Enfriamiento),1106.9,96.3,
02/02/2026 16:00,HVAC Chiller Unit 1 (Enfriadora),0,412.8,
02/02/2026 16:00,HVAC Chiller Unit 2 (Enfriadora),0,407.1,
02/02/2026 16:00,Industrial Washer A (Lavandería),469.7,25.5,
02/02/2026 16:00,Industrial Washer B (Lavandería),510,25.6,
02/02/2026 16:00,Tunnel Dishwasher (Cocina),328.2,31.7,
02/02/2026 16:00,Pool Pump & Heater System,31.6,67.5,
02/02/2026 16:00,Main Electric Boiler (Caldera),74.2,205,
02/02/2026 17:00,Cooling Tower A (Torre Enfriamiento),937.3,121.4,
02/02/2026 17:00,Cooling Tower B (Torre Enfriamiento),850.8,122.4,
02/02/2026 17:00,HVAC Chiller Unit 1 (Enfriadora),0,473.4,
02/02/2026 17:00,HVAC Chiller Unit 2 (Enfriadora),0,411.7,
02/02/2026 17:00,Industrial Washer A (Lavandería),598.3,23.6,
02/02/2026 17:00,Industrial Washer B (Lavandería),614.9,26.7,
02/02/2026 17:00,Tunnel Dishwasher (Cocina),281.3,54.5,
02/02/2026 17:00,Pool Pump & Heater System,28.8,48.9,
02/02/2026 17:00,Main Electric Boiler (Caldera),33.5,274.2,
